sx,dx
14,8
16,9
17,8
17,9
18,8
18,9
20,11
16,8
11,3
6,0
0,2
3,3
4,6
2,5
1,6
1,9
2,13
3,11
10,10
2,23
3,28
2,35
3,44
8,49
6,48
4,48
1,45
5,40
1,35
3,32
1,27
7,23
16,22
25,18
28,17
36,3
37,5
33,3
28,10
20,3
11,0
1,1
0,9
9,22
2,35
3,43
2,42
10,45
17,35
21,22
32,4
27,3
15,6
3,0
13,4
30,20
55,38
62,57
52,60
48,60
30,62
14,53
11,37
4,11
3,2
6,11
5,17
5,22
17,28
22,27
26,19
36,6
17,3
4,13
2,33
11,40
19,42
28,55
28,64
25,63
25,61
22,53
17,51
11,44
2,40
6,40
6,33
6,19
8,15
17,16
18,25
14,25
17,29
16,32
10,38
6,43
3,42
10,44
5,42
5,44
7,44
13,47
11,40
6,35
2,32
1,28
2,27
4,24
19,13
20,7
29,2
31,1
25,2
27,2
24,4
20,2
15,1
12,1
8,2
8,3
4,9
5,5
8,3
9,3
13,0
15,1
17,0
15,7
15,12
14,14
16,16
18,17
19,22
