sx,dx
619,566
592,563
578,550
562,540
551,525
541,522
526,513
533,515
527,512
532,517
533,518
535,516
537,517
537,518
539,517
538,517
535,515
532,511
528,508
525,505
524,505
526,506
528,507
529,499
528,506
530,510
534,516
538,518
551,526
534,524
526,520
528,518
538,524
545,535
570,542
577,551
597,565
585,565
597,569
606,576
610,580
611,578
611,578
612,580
612,584
612,586
613,585
613,584
610,583
610,583
602,574
600,562
598,558
595,556
594,553
592,552
587,547
579,544
572,541
548,529
526,514
547,513
544,514
542,513
536,505
514,501
522,502
524,500
519,497
517,483
512,479
517,481
519,483
515,474
485,469
478,468
480,469
483,470
486,475
488,476
493,481
495,483
534,507
540,504
515,498
541,502
551,506
535,506
560,532
573,541
559,543
575,548
576,548
585,555
595,560
603,565
604,562
605,563
610,568
616,578
620,584
621,587
619,585
619,585
616,583
615,583
609,582
605,580
601,577
595,571
592,565
589,559
586,553
581,551
573,544
566,536
566,533
564,531
558,527
554,524
547,519
539,507
529,502
523,504
515,498
509,490
504,485
502,478
499,471
500,471
489,472
484,474
505,484
511,485
513,488
514,492
514,493
523,497
527,502
529,503
533,510
534,510
539,503
551,518
555,508
560,510
554,518
567,529
573,536
579,543
591,556
574,557
569,559
564,553
584,559
596,565
603,574
606,573
610,579
