sx,dx
64,75
70,83
79,87
86,90
81,91
80,90
93,89
93,85
95,80
94,79
93,80
94,82
91,83
90,81
87,82
84,85
81,93
82,92
90,92
96,95
93,102
87,102
88,102
86,101
72,102
70,103
69,103
74,103
73,101
74,97
73,94
66,91
64,85
58,79
57,74
53,67
48,59
42,53
37,44
31,36
29,31
27,29
26,29
27,29
28,28
30,29
32,31
37,34
40,37
44,44
50,53
57,59
62,66
67,71
76,75
77,85
74,87
83,87
80,89
76,89
92,85
86,83
86,78
85,80
89,81
91,81
103,83
98,82
97,82
98,84
104,84
102,85
93,88
86,88
86,87
96,83
96,84
98,84
103,81
93,81
86,86
71,84
70,82
66,78
70,77
72,75
70,73
63,73
65,71
54,68
50,66
45,62
48,59
51,54
49,50
47,49
43,49
43,49
41,50
39,51
39,52
42,52
43,57
44,59
53,61
62,67
68,75
61,76
67,75
76,79
73,80
80,78
82,75
83,67
79,68
84,71
99,71
115,77
120,77
112,73
106,73
108,74
109,76
105,76
103,77
96,76
98,74
93,72
100,72
94,68
94,69
96,71
93,71
96,71
97,71
96,70
83,69
75,64
66,58
58,55
53,52
54,49
54,49
50,47
49,44
48,40
45,37
45,37
47,38
47,36
49,36
49,35
49,42
52,44
49,42
54,44
54,50
53,55
61,57
68,62
72,63
85,61
88,57
86,51
83,47
85,52
93,59
111,65
113,66
107,65
115,65
110,68
106,73
100,67
98,67
98,72
90,70
90,72
111,70
106,68
105,68
95,70
93,79
92,84
84,85
75,81
72,78
70,67
55,56
48,55
49,56
46,51
44,44
42,43
41,40
40,39
36,38
34,37
36,39
35,40
36,40
38,40
39,41
41,42
42,48
45,50
51,52
57,52
61,54
64,56
68,65
68,72
73,71
70,70
95,70
96,74
91,71
92,75
89,72
86,71
80,77
103,76
100,79
99,78
99,76
104,77
103,79
89,79
94,79
92,79
94,89
95,95
103,96
113,99
114,98
101,99
98,98
86,94
81,88
73,86
