sx,dx
62,70
58,73
61,77
61,77
61,77
66,72
59,63
53,58
52,54
57,53
61,51
71,51
72,51
69,52
67,50
64,47
63,45
66,47
73,46
70,46
62,45
62,46
66,48
46,49
49,55
60,61
67,67
90,77
86,81
77,83
67,85
65,85
71,83
71,83
71,84
67,83
71,77
69,73
53,66
49,63
53,61
53,59
52,56
42,57
36,58
35,58
36,59
35,59
37,55
39,55
46,55
49,62
58,73
67,79
67,77
67,78
68,82
67,81
60,79
58,78
54,79
59,80
67,83
64,82
63,79
62,78
59,76
57,79
58,81
56,79
55,78
55,76
56,73
56,70
56,66
56,61
56,60
56,57
55,54
55,51
54,48
54,47
53,45
55,43
51,38
47,39
55,41
60,43
64,42
43,41
57,42
67,43
73,46
69,52
67,55
64,58
61,61
58,67
57,71
54,74
52,75
49,76
40,77
38,74
40,72
43,71
47,69
55,65
62,61
70,56
75,47
44,44
39,44
41,46
43,47
41,48
40,48
42,49
48,51
52,55
58,63
62,66
65,67
67,70
67,75
75,75
85,78
82,79
78,78
78,78
79,81
75,82
74,83
74,84
73,84
72,86
70,86
69,85
65,85
59,82
58,79
60,77
60,76
61,75
56,72
54,68
55,68
54,68
54,68
58,66
57,65
57,64
50,63
53,61
52,59
48,58
52,59
57,58
47,57
49,59
64,61
76,63
75,67
66,73
67,81
65,86
67,91
62,93
61,94
61,94
74,93
74,89
73,83
64,79
71,77
63,70
59,65
56,66
85,67
61,65
52,61
55,61
53,62
44,60
51,58
64,57
63,57
61,58
62,61
60,62
58,70
57,71
52,67
49,66
49,69
52,72
57,75
67,80
77,80
84,83
83,89
89,91
92,92
92,93
92,90
89,88
82,88
79,86
67,86
57,78
51,74
51,63
47,52
44,48
54,50
55,50
67,51
71,53
76,54
75,55
71,57
65,58
62,57
57,55
60,57
53,55
50,55
53,59
72,64
79,67
88,73
92,83
94,88
89,93
83,98
73,102
69,105
68,107
64,106
70,105
73,103
76,98
70,93
64,84
64,79
74,77
68,72
58,66
53,64
53,62
59,61
60,61
59,62
57,58
52,56
56,56
49,56
49,58
55,61
56,61
58,65
61,68
61,71
61,70
61,69
63,71
63,73
71,77
74,82
80,85
84,88
84,89
81,89
77,90
71,90
