sx,dx
106.5,83.0
107.0,89.25
109.75,95.25
111.75,101.0
104.0,103.25
103.25,109.0
97.0,121.0
95.75,130.5
94.25,129.5
91.5,133.75
91.0,137.25
86.5,140.75
78.25,142.0
78.0,145.75
103.25,145.0
112.25,145.25
118.25,142.5
120.25,141.75
121.75,140.0
120.5,137.0
122.75,136.75
131.0,134.5
133.0,134.5
134.75,129.5
134.0,125.75
133.5,124.0
132.25,124.25
129.0,126.0
129.0,131.0
126.75,134.0
121.5,140.0
122.25,143.5
122.0,144.25
124.0,143.25
124.25,143.25
126.25,143.75
128.25,145.25
127.75,148.75
127.5,149.75
133.0,149.75
129.5,149.0
132.25,150.75
131.25,151.0
132.5,154.5
132.25,154.5
133.75,153.5
135.25,155.5
137.5,157.25
140.5,155.5
141.5,154.5
141.5,148.25
145.75,146.75
152.75,146.5
155.5,146.75
154.5,145.75
152.25,145.25
156.75,154.25
157.0,154.25
158.25,152.5
166.5,153.75
165.5,154.25
164.75,156.5
164.25,154.25
165.0,154.5
162.75,156.75
172.75,158.0
171.5,159.0
151.75,157.75
149.5,154.25
145.5,148.5
147.5,146.0
142.5,145.75
142.25,144.0
143.0,143.25
150.75,141.5
115.0,138.0
118.25,140.25
119.0,137.75
120.25,140.0
126.0,140.0
129.5,141.25
131.0,142.25
140.0,142.75
138.5,142.25
146.0,142.5
144.25,143.25
142.0,143.25
141.75,143.75
145.25,143.25
143.0,143.25
150.0,144.0
116.25,146.5
111.25,147.0
106.75,149.0
110.25,152.0
5.25,156.5
7.75,164.0
34.5,167.25
81.75,171.75
116.75,165.5
140.75,161.0
145.0,160.75
148.75,158.5
151.5,157.75
161.25,153.25
160.0,149.5
158.25,144.0
172.5,144.75
174.5,143.25
151.5,131.5
173.0,128.0
172.0,124.25
172.0,122.25
168.0,121.5
163.75,122.5
160.0,127.0
159.0,129.25
160.25,126.75
155.75,125.25
155.5,126.5
156.75,126.75
174.25,130.25
211.25,142.0
204.75,139.75
214.25,139.25
213.25,139.75
212.0,141.0
212.5,137.0
212.25,138.0
210.5,136.5
200.25,138.25
194.0,135.25
193.75,134.0
214.0,132.0
207.5,132.0
202.25,137.75
183.25,134.75
186.25,127.75
189.25,124.25
189.0,125.0
168.75,125.5
163.0,127.5
165.0,131.5
166.25,133.75
167.75,137.25
172.0,137.25
144.25,138.5
150.5,129.5
152.25,128.0
155.25,132.75
161.5,142.5
162.5,145.0
140.25,148.75
142.75,151.5
134.25,151.25
136.0,150.5
138.75,154.0
162.0,164.5
161.75,165.5
158.0,165.25
157.0,163.25
144.5,155.75
144.5,153.5
134.5,153.0
130.5,153.5
131.5,154.5
124.5,157.5
125.0,159.5
125.75,159.5
127.0,158.5
132.5,158.25
136.0,160.5
135.75,160.25
130.5,159.5
129.5,158.75
132.5,158.75
134.75,164.25
136.0,168.0
154.25,177.0
155.0,177.75
161.0,164.5
140.5,150.25
140.25,149.5
144.0,150.25
143.25,150.75
145.0,143.75
149.75,148.0
150.75,141.75
167.25,140.0
167.5,142.75
173.5,147.75
180.5,149.5
180.75,153.5
192.0,162.5
189.75,160.75
188.5,155.75
187.75,154.25
189.75,148.5
185.75,155.0
189.25,156.25
190.75,154.5
188.5,149.75
182.0,154.75
181.25,150.25
170.75,151.75
165.75,146.5
158.0,152.75
140.75,160.0
102.25,156.75
40.25,154.0
20.5,151.5
25.25,153.25
139.25,158.0
188.5,168.0
195.25,164.5
212.0,170.5
191.0,176.0
184.75,151.75
181.25,130.5
180.25,116.0
152.25,114.5
160.25,113.75
174.0,115.0
155.0,105.5
153.75,108.75
152.25,107.5
148.5,110.75
134.25,109.25
128.25,108.75
127.5,105.0
114.75,94.75
