sx,dx
49,57
45,59
46,61
49,62
50,62
50,61
49,61
48,53
47,40
47,29
46,22
47,24
38,23
32,24
38,27
40,29
43,31
44,35
43,39
45,45
48,52
52,58
61,64
74,89
78,112
87,137
86,154
93,160
81,171
85,177
82,179
83,185
88,188
97,195
103,202
105,205
111,202
118,200
114,202
102,194
92,185
88,177
81,164
79,158
74,138
84,136
95,131
97,115
84,104
102,90
91,80
92,69
59,62
69,59
70,54
59,50
47,46
48,47
55,45
58,42
50,40
46,41
42,40
41,40
40,38
42,39
42,46
47,58
60,70
65,81
69,88
76,101
82,115
78,117
74,114
66,111
62,108
61,105
63,101
60,100
58,98
56,92
59,90
61,88
63,86
63,81
63,78
60,66
62,56
61,52
60,46
60,42
64,42
77,44
76,46
72,47
76,48
85,53
83,58
85,62
85,82
87,108
88,123
85,136
87,155
83,159
82,164
85,176
84,171
80,176
83,184
84,185
86,186
86,185
83,187
83,186
85,186
85,178
84,164
82,157
85,147
87,140
86,120
92,114
100,108
75,90
60,82
64,77
58,77
49,69
46,62
40,57
51,58
55,55
58,55
61,63
74,70
72,73
70,73
68,85
69,89
64,90
64,89
61,87
59,84
60,83
60,85
62,87
61,86
57,79
60,73
61,73
60,70
58,64
57,50
59,41
56,35
47,31
45,30
43,28
45,27
46,28
47,29
52,33
62,39
66,51
72,56
71,60
69,71
80,101
99,121
100,137
103,148
103,153
100,158
97,157
94,163
98,170
104,179
113,186
113,184
113,185
113,182
113,180
110,179
110,176
105,166
103,156
94,143
94,135
93,126
98,115
109,99
106,88
114,81
92,73
78,68
58,64
47,60
39,53
37,50
42,48
40,47
46,43
49,43
42,42
46,45
49,48
50,55
50,58
54,62
61,71
70,85
78,95
80,103
81,108
83,105
72,100
67,95
62,91
60,89
59,87
53,82
50,81
56,77
57,74
