sx,dx
27,4
27,4
27,4
27,4
27,4
27,4
27,4
27,5
28,4
26,4
22,6
17,11
9,16
5,21
4,27
13,34
19,40
30,47
38,51
45,56
53,62
59,64
61,75
64,82
63,82
64,84
69,93
72,97
74,104
74,103
68,99
68,102
66,97
72,94
84,94
90,100
95,101
99,105
97,98
102,101
98,97
86,93
82,94
88,102
90,110
100,115
104,121
107,128
94,123
89,118
94,112
102,116
107,107
111,108
119,114
121,110
120,108
118,108
115,99
100,117
98,114
103,117
103,124
98,132
106,141
112,128
111,122
107,113
129,120
130,124
131,121
144,109
139,100
135,106
136,109
133,104
123,112
116,107
107,103
110,113
114,122
117,127
110,128
115,127
109,119
106,117
117,114
125,114
125,109
133,100
139,89
138,87
134,88
128,90
124,97
126,105
130,108
116,101
105,109
99,113
91,108
83,104
80,92
72,78
59,69
57,60
52,50
48,38
43,27
47,8
44,1
44,15
37,30
30,42
26,52
17,62
3,63
9,65
32,43
33,36
35,33
34,24
40,19
43,14
49,5
50,12
47,24
46,35
51,34
55,31
58,31
61,29
67,29
72,13
68,8
70,10
56,15
59,12
65,9
69,5
71,6
