sx,dx
89,80
86,81
85,80
85,75
72,80
74,85
86,98
89,111
97,121
95,132
96,137
94,144
103,160
112,171
113,175
108,176
120,182
137,186
132,183
153,195
155,196
177,202
170,204
173,214
175,208
171,202
178,199
172,199
173,196
177,193
175,199
142,186
144,173
139,168
141,163
148,160
151,157
151,148
138,134
115,126
97,116
94,92
88,82
69,75
54,78
52,68
52,72
47,72
49,72
46,69
49,66
50,70
49,70
54,72
56,69
70,77
84,86
95,101
113,113
135,125
136,132
132,140
114,140
113,137
136,146
137,146
130,148
126,157
129,154
137,155
143,157
143,158
146,158
130,153
123,148
123,144
117,152
169,167
156,160
140,155
130,162
101,160
104,155
107,152
104,144
104,130
94,116
87,100
75,86
54,77
46,74
44,67
42,67
45,69
46,68
46,69
45,69
47,69
49,70
48,67
60,67
70,81
96,90
106,108
118,120
142,127
130,137
121,142
116,140
111,140
129,151
121,145
135,150
135,167
122,170
132,177
136,178
114,179
105,179
118,177
108,175
108,178
126,179
126,179
109,175
94,173
99,170
101,165
105,162
105,155
101,144
101,134
94,116
90,99
