sx,dx
49.0,33.0
48.5,39.5
45.0,41.5
40.75,42.0
33.0,41.5
33.25,39.5
32.25,37.0
32.75,29.25
31.0,23.5
28.5,21.75
18.25,22.25
18.0,23.25
19.25,23.75
18.0,22.75
23.75,23.75
23.25,25.25
21.0,33.25
15.5,33.5
16.25,33.75
5.0,39.75
3.0,48.0
5.25,48.25
7.25,48.75
3.5,46.5
3.5,47.5
2.25,48.5
1.25,49.0
6.25,48.75
12.75,47.5
18.0,47.5
21.25,46.0
26.0,46.0
25.25,45.25
23.25,43.25
25.75,43.5
26.25,43.75
27.75,41.75
27.75,41.25
29.75,39.5
30.5,37.0
28.75,35.0
28.25,33.5
27.5,32.75
27.0,32.25
27.0,30.0
29.25,30.0
32.0,30.0
32.75,28.75
34.5,28.25
35.0,26.75
36.5,26.25
37.0,25.0
36.75,22.5
36.25,22.0
36.5,20.25
34.0,20.0
32.25,21.5
30.75,20.5
30.0,19.25
27.0,20.75
25.0,20.25
23.5,21.5
22.5,17.5
20.5,18.0
28.25,18.75
27.25,17.5
23.75,17.25
17.75,17.25
14.5,16.0
14.0,17.0
29.75,16.25
21.0,15.5
18.75,16.0
12.5,16.5
9.25,18.75
8.25,16.0
9.5,20.75
17.75,26.0
23.25,26.25
25.5,28.5
26.0,38.25
22.0,41.25
24.0,41.25
24.75,41.5
29.5,43.75
30.5,44.25
31.5,41.25
30.25,44.25
33.25,45.5
32.25,47.0
31.0,48.0
31.25,52.25
32.0,50.75
33.0,51.0
34.25,52.0
34.25,51.0
36.75,50.5
37.0,51.25
35.25,51.5
32.0,51.5
30.75,53.5
32.75,53.25
33.0,53.5
34.75,53.5
35.25,49.75
35.25,49.0
34.25,47.5
30.5,46.25
32.25,44.5
27.75,42.75
24.75,38.0
24.75,39.25
21.0,37.25
23.25,29.25
26.0,30.25
22.25,31.25
24.0,28.75
18.0,31.25
14.75,27.5
15.0,25.5
14.0,23.25
11.25,23.25
10.25,23.25
8.75,23.25
9.0,22.0
14.5,21.0
20.75,17.0
24.25,17.75
25.0,22.25
26.75,22.0
29.25,23.75
33.0,27.0
35.25,28.0
39.0,28.0
38.75,29.25
38.5,28.5
40.75,26.75
38.0,27.0
38.0,26.75
39.25,25.75
38.25,26.5
37.5,26.75
40.0,27.75
43.5,25.5
45.0,24.25
46.75,23.75
46.75,23.75
45.75,24.75
46.75,25.75
46.75,26.25
49.0,26.5
49.0,27.0
49.0,29.0
50.0,29.75
47.5,26.0
46.75,26.25
44.5,25.75
42.5,25.0
43.25,25.25
43.0,23.25
39.25,23.5
38.5,19.75
37.5,14.5
36.0,9.25
35.25,1.75
31.5,0.75
25.5,3.0
22.25,4.25
14.0,7.25
12.0,7.0
4.0,2.0
2.25,5.25
2.75,10.75
2.75,5.75
1.5,4.0
0.25,10.0
1.25,9.75
2.0,10.5
5.0,10.75
9.25,10.75
7.75,11.25
10.25,17.0
12.25,29.75
17.75,36.25
22.75,39.25
23.75,42.0
24.0,41.0
23.75,39.0
23.25,31.75
23.5,29.5
29.5,28.0
30.75,27.5
29.75,26.5
36.0,27.25
38.75,28.0
38.5,29.75
39.75,31.5
37.5,31.0
38.25,31.0
38.0,31.0
38.25,31.0
39.25,31.0
39.75,31.25
40.25,33.25
40.5,33.25
40.75,31.25
41.75,31.75
41.5,29.75
44.75,31.25
41.25,31.5
36.25,32.5
32.0,31.0
28.0,27.25
22.5,28.0
20.25,28.75
15.75,26.25
9.5,21.0
8.25,21.75
3.75,21.25
0.5,21.0
6.75,21.25
6.25,19.0
17.75,16.25
15.75,15.25
14.25,15.0
21.25,16.0
20.0,18.25
24.0,17.25
18.0,20.0
18.75,22.5
16.75,31.0
14.25,37.75
10.5,39.25
6.5,41.5
14.75,43.0
13.25,47.0
17.5,48.25
17.0,49.0
19.0,47.25
23.25,41.5
