sx,dx
296.75,223.25
297.5,229.75
291.0,229.25
277.0,245.0
271.25,250.25
267.5,255.75
266.25,260.0
264.5,265.5
263.75,265.25
264.5,262.0
261.0,263.5
261.25,261.5
260.75,260.25
260.5,260.25
260.75,257.25
259.25,252.25
262.0,251.0
262.0,249.0
260.0,243.25
258.5,245.0
258.0,243.5
256.25,241.75
252.5,238.75
249.25,242.0
248.25,241.75
244.25,241.75
243.0,238.75
242.75,241.25
241.25,241.5
242.25,242.5
243.25,245.5
242.25,250.0
243.0,249.75
243.0,252.25
243.0,252.5
245.0,252.0
245.0,250.0
245.5,247.25
244.75,246.0
244.75,242.75
245.0,239.25
244.75,239.25
245.0,239.5
244.0,233.5
244.75,232.75
244.75,228.25
245.25,227.0
250.25,226.0
245.25,227.0
243.5,225.25
247.5,223.0
247.75,223.5
260.75,221.0
260.5,223.0
262.75,227.5
260.75,223.25
259.5,223.0
258.25,217.25
258.5,217.75
255.0,217.5
237.25,216.25
232.25,217.25
233.75,215.25
231.0,213.75
229.75,214.75
226.5,216.75
226.25,216.25
226.25,218.0
233.5,218.5
236.5,219.75
241.5,219.5
234.5,219.5
234.75,218.75
236.5,222.5
238.5,225.25
240.25,228.0
247.25,231.0
245.0,236.0
245.5,232.75
245.25,232.75
245.5,232.5
246.5,233.0
249.0,232.25
250.5,234.0
250.5,233.75
250.75,234.0
254.25,236.0
254.0,235.75
254.25,239.5
254.25,243.75
253.75,243.25
253.5,239.0
253.25,239.25
252.5,237.0
254.0,237.75
254.5,236.75
254.25,235.25
254.25,231.75
254.25,230.5
250.75,228.5
249.75,225.5
250.5,222.5
250.75,227.5
251.0,225.75
243.5,233.0
240.5,230.75
249.5,228.0
253.25,215.75
265.5,214.25
265.75,210.5
241.25,205.0
241.0,197.0
237.25,193.0
237.5,189.0
237.75,189.5
234.0,191.0
234.0,194.25
235.25,196.25
229.75,202.0
226.0,204.75
222.75,208.0
224.25,208.5
223.0,211.0
227.75,211.5
232.5,213.0
238.75,213.5
239.0,216.75
241.25,218.75
242.5,220.25
245.75,224.0
246.5,228.0
250.25,229.0
252.0,231.25
252.25,231.0
251.75,235.5
250.25,235.25
250.0,236.5
250.5,237.75
251.5,238.25
252.0,236.75
248.75,236.75
248.75,238.5
250.0,239.0
250.0,240.0
252.25,242.5
252.5,244.75
251.75,244.0
251.75,244.25
251.75,242.75
252.0,240.75
251.75,237.25
250.5,232.5
250.25,222.75
250.0,220.25
247.0,222.5
246.25,221.5
240.25,220.75
237.5,220.75
261.5,220.5
260.0,214.25
260.5,205.75
244.25,201.5
243.25,197.25
243.5,199.0
244.75,198.5
245.75,196.75
249.75,196.75
250.75,198.25
251.25,196.25
252.25,204.25
252.5,205.75
240.0,207.25
235.0,217.25
235.75,220.25
236.25,222.25
237.75,222.25
237.75,228.75
237.0,230.5
