sx,dx
41,83
47,82
52,82
55,82
59,82
63,82
67,79
68,79
67,77
71,76
71,73
70,72
70,72
66,72
64,71
64,70
64,70
60,72
56,71
52,72
53,73
53,76
55,76
61,76
62,76
60,77
51,77
37,77
40,78
40,79
37,79
40,80
46,81
46,81
46,81
49,81
57,81
60,80
65,81
68,82
66,82
66,84
63,84
63,86
62,86
61,86
62,86
62,87
63,87
63,87
66,87
68,86
70,86
71,85
70,83
70,83
70,80
69,77
69,76
68,75
67,74
60,73
57,70
56,68
55,65
55,64
55,63
54,63
55,62
56,62
56,62
55,62
56,62
56,62
56,60
56,59
56,58
57,58
58,58
59,57
60,57
62,57
60,57
58,57
55,58
51,59
41,60
31,60
33,60
35,60
39,62
38,62
41,62
42,63
42,64
39,65
39,65
36,67
35,68
35,69
34,70
33,71
35,70
35,68
38,67
40,67
41,68
45,68
45,68
46,68
51,68
54,69
53,68
52,68
52,69
52,68
53,68
54,67
58,65
62,64
62,65
66,66
67,68
68,69
67,68
65,68
65,68
61,66
59,65
57,65
56,65
52,65
51,65
52,65
53,65
53,66
53,65
52,66
53,68
54,69
57,70
59,70
60,70
59,69
59,67
61,67
62,67
63,67
62,67
64,67
61,67
62,66
55,67
54,66
51,67
48,68
42,68
38,69
40,71
43,73
43,75
44,76
46,77
46,77
48,77
46,76
45,76
43,75
47,75
44,75
43,74
43,74
43,76
50,77
55,77
56,78
54,78
55,79
55,79
55,79
54,79
54,79
55,79
60,79
64,77
68,75
67,74
65,74
66,73
64,72
65,71
64,69
64,64
61,61
59,58
59,58
59,59
58,59
56,61
56,63
56,63
62,64
64,65
65,66
65,68
64,71
66,71
65,70
64,69
63,67
63,67
64,66
61,66
57,66
57,66
56,66
57,67
57,69
57,70
57,70
56,71
56,71
54,71
52,72
49,72
44,72
43,72
44,75
44,77
45,79
46,79
47,79
45,77
43,77
40,76
33,76
34,76
33,76
37,76
44,76
50,76
55,76
55,76
55,76
54,77
54,77
52,77
51,77
50,76
49,77
49,76
49,75
48,75
50,73
53,72
56,71
60,71
64,70
64,69
63,68
64,66
65,64
65,62
64,60
61,59
58,58
54,60
54,59
54,59
50,60
47,60
46,60
46,60
44,60
44,60
