sx,dx
17,3
18,3
18,3
18,3
19,3
19,3
18,3
18,3
18,3
17,3
15,4
11,8
7,10
3,14
2,18
8,23
13,26
20,31
25,34
30,37
36,42
39,43
41,50
43,55
43,55
42,56
46,62
48,65
49,70
50,68
45,66
46,67
44,65
48,62
55,62
61,67
63,67
66,68
64,64
68,66
65,65
57,61
55,62
59,68
60,72
65,77
68,80
71,84
65,80
60,78
64,75
69,75
70,70
74,71
77,74
80,72
80,71
78,72
76,66
67,77
66,76
69,82
69,87
67,89
72,95
73,88
74,81
72,75
85,80
86,82
87,80
96,71
92,66
90,69
91,71
88,69
80,73
77,70
71,68
72,74
76,81
78,86
74,85
76,83
72,80
70,78
76,75
82,76
83,73
88,65
92,60
91,56
89,59
84,60
83,63
85,69
85,71
76,67
69,72
65,75
60,72
54,70
53,61
47,52
40,47
38,39
35,32
32,25
29,18
31,5
30,1
29,11
25,19
20,28
17,35
12,40
2,41
7,41
22,28
22,24
24,22
23,17
27,14
28,10
33,3
32,7
30,16
31,22
35,22
35,22
38,21
41,20
45,19
48,10
46,5
46,6
36,10
40,8
43,6
46,4
48,4
