sx,dx
66.5,65.25
60.0,63.25
58.75,59.25
56.25,50.25
41.75,49.25
45.0,47.25
49.5,46.25
43.5,45.0
44.75,42.5
34.75,41.5
31.5,36.75
28.0,31.75
17.0,28.5
19.75,26.25
24.0,23.25
20.0,21.25
49.5,20.5
129.75,26.0
148.5,24.0
188.5,31.75
47.0,37.75
52.75,38.75
127.25,39.5
123.5,47.0
152.25,42.5
156.0,37.5
160.0,36.5
149.5,37.25
67.25,34.5
120.75,33.0
37.75,34.5
3.0,31.0
11.0,29.5
22.0,30.25
37.25,27.5
83.5,26.75
92.75,25.25
48.25,25.0
32.5,20.0
19.5,20.5
19.75,19.75
20.75,13.75
26.0,15.5
19.75,19.5
19.25,25.0
20.5,28.25
21.0,33.75
20.25,37.75
17.75,38.0
18.25,38.0
18.5,39.0
22.25,41.25
20.75,41.0
23.0,41.0
23.25,35.0
29.25,32.0
31.75,26.75
32.25,23.0
29.75,19.5
39.0,15.5
36.25,17.75
28.0,14.75
20.0,12.5
62.75,6.0
109.25,7.25
50.25,13.75
8.5,14.25
1.5,15.5
10.75,15.75
6.75,17.0
6.25,17.25
9.25,17.25
10.0,17.25
49.75,13.5
39.25,13.5
43.0,13.25
28.0,21.0
19.5,33.25
6.75,33.25
4.5,33.75
7.5,38.25
6.75,38.5
6.5,36.75
5.0,33.75
2.75,32.75
0.75,31.0
4.75,29.25
7.5,27.75
9.25,29.75
9.75,32.0
11.75,35.0
12.25,36.5
12.0,44.75
18.75,49.0
21.5,48.75
22.5,48.75
23.5,47.75
24.5,48.25
26.75,49.25
25.0,43.25
26.5,38.25
27.25,34.25
27.5,31.0
27.25,28.25
27.5,28.5
26.25,28.5
16.75,21.0
9.75,21.0
49.25,19.5
48.25,19.25
42.75,19.25
43.5,19.0
9.0,19.0
4.0,30.0
1.5,31.5
3.75,34.0
8.5,33.5
20.5,33.5
22.75,34.5
67.0,34.5
64.0,33.0
40.75,39.25
23.75,44.75
12.0,44.5
15.75,43.75
9.25,42.75
7.5,42.25
1.5,40.5
0.5,40.75
2.0,41.25
0.5,41.25
2.0,38.75
3.25,38.75
7.0,37.75
